,nucleotides,species_name,phylo_level,parent
35,1629304,Myxococcus macrosporus,S,32
1189310,1632272,Myxococcus macrosporus DSM 14697,S1,35
34,301153,Myxococcus xanthus,S,32
1297742,299955,Myxococcus hansupus,S,32
246197,301307,Myxococcus xanthus DK 1622,S1,34
