,nucleotides,species_name,phylo_level,parent
35,1632307,Myxococcus macrosporus,S,32
1189310,1636235,Myxococcus macrosporus DSM 14697,S1,35
34,299064,Myxococcus xanthus,S,32
1297742,297899,Myxococcus hansupus,S,32
246197,299212,Myxococcus xanthus DK 1622,S1,34
